comment,context
와 병..장이다,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '저 새끼들은 돈 많으니까 옆에 보좌관 끼고 운전수끼고 자동차끼고 이동에 불편없이 살탠데 정작 ㄹㅇ 이동이 불편한 사람들은 저 새끼들 때문에 도움을 못받어 ㅋㅋ 나쁜말 마렵네']"
잘가는구만 그래서 뭐가 문제임?,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '유럽 곳곳으로 사지 멀쩡한 나보다 더 잘 돌아다니네 시벌 ㅋㅋㅋ']"
존나 잘 다니네 ㅋㅋ 이동권? ㅋㅋ,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '빌드업 같은데 해외 우리나라 장애인에 대한 복지를 늘려라? ㅋㅋㅋㅋ머든 또 정치적으로 엮을거 같다 ㅋㅋㅋ']"
이게 짬에서 나오는 바이브구나 그냥 관심 주지 말라고 봉인해버리네 ㅋㅋㅋㅋ,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '이동권 보장 외치는 분들이 나보다 여행 ㅈㄴ 잘 가네']"
노다지! 노다지!,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '새끼들 영어나 불어 안되서 소리도 못지르고 항의도 못하네']"
근데 왜 간거임?,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', 'ㅋㅋㅋ']"
정신적 장애로 남들에게 피해주는건 이해못하겠다,"['싱글벙글 전장연 근황 ㄷㄷㄷㄷㄷ', '노르웨이 지하철에서도 저러는 중 패럴림픽 일정에 맞춰 독일-프랑스 순회 예정', '오로라 보고싶다']"
야 나도 못가본 노르웨이를...,"['우리나라 노르웨이에 역대급 수출 성공시킴ㄷㄷ', '전장연 수출함 ㄷㄷ', '저거 누구돈임?']"
ㅈㄴ이웃사람 마동석 대사같네ㅋㅋㅋ,"['우당탕탕 전장연 부산 1호선 방문기', '??? : 마 병력 더 불러라 이 쉐끼야', '존나 속 시원하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
크 그래도 장애인이라고 주먹은 안 나갔네,"['우당탕탕 전장연 부산 1호선 방문기', '??? : 마 병력 더 불러라 이 쉐끼야', '예수네ㅋ']"
자랑스러운 도시 부산..,"['우당탕탕 전장연 부산 1호선 방문기', '??? : 마 병력 더 불러라 이 쉐끼야', '지나고보면 이준석이 옳았다ㄹㅇ']"
이 씹쌔끼들때문에 지각해서 알바비 1시간 날라간거 생각나네 ㅋㅋㅋㅋㅋㅋ,"['전장연을 당황하게 만든 부산시민들 ㄷㄷㄷ', 'ㄷㄷㄷ', 'ㄹㅇ 사실상 주요교통망 고의로 마비시켜버리는 테러행위나 마찬가지인데 봐주는 새끼들도 한패임']"
광주 경기장은 버스타고 갈수있지 지하철은 지나가지도 않음...,"['전장연을 당황하게 만든 부산시민들 ㄷㄷㄷ', 'ㄷㄷㄷ', '일단 지하철타고 야구장을 못가 ㅋㅋㅋㅋㅋㅋ']"
서울에서 하던것처럼 저기서 하믄 안먹힌다 ㅋㅋㅋ,"['전장연을 당황하게 만든 부산시민들 ㄷㄷㄷ', 'ㄷㄷㄷ', '국밥아재들 ..잘못건드리면']"
경찰 있어서 산거지 저 동네 아재들은 야구에 진심이라서 일마 이거 돌았나 하면서 휠체어 채로 선로로 밀어버릴 수도 있음ㅋㅋㅋㅋㅋ,"['전장연을 당황하게 만든 부산시민들 ㄷㄷㄷ', 'ㄷㄷㄷ', '그 장면도 있었는데 말안들으니 아예 장애인디스하는거ㅋㅋㅋ 전장연 발끈하는게 웃겼음ㅋㅋㅋ']"
ㅋㅋㅋㅋㅋㅋ,"['전장연을 당황하게 만든 부산시민들 ㄷㄷㄷ', 'ㄷㄷㄷ', '전장연은 아니지만 , 지하철에서 전동휠체어 타더니 , 공간 안내준다고 젊은사람한테 고래 고래 고함 지르던 어르신 생각난다 .']"
오늘 커뮤에서 본 댓글중 1등이다,"['곧 프랑스 갈 준비하는 전장연 근황', '역시 6배의 요금을 강요 받았다고 시위 start 이전에 한번 국내여행 제주도 가는데 파리 여행 가는 요금내야한다고 뉴스 나온적이 있는데 와상장애인 즉 누워서 지내는 장애인들이 여행갈려면 1인당 6개를 사야 한다 이런 구조 같음 이건 지금도 변함이 없는 모양 그러니까 프랑스 가는 대한항공 좌석 6개를 앞뒤 다 사서 와상장애인들이 누워서 간다 이렇게 보면 될듯? 가뜩이나 뭐 프랑스 가서 한국 장애인 대우에 부당함을 알리겠다고 가시는분들인데 뭐 와상장애인 7명 도우미 7명 이런식으로 잡는다해도 좌석 1개당 왕복 낮게 잡아도 90만원이면 6개면 540만원*7 = 3700만원꼴 뭐 얼마나 와상장애인들을 데려갈지 모르겠다만 편성된금액이면 가기로 한 인원 반으로 축소해야할판.... 자 그럼 이번 전장연이 이동권에 이은 기내이동권 보장 내용을 한번 보면 무료를 참 많이 요구했네.....근데 좌석간 거리 넓은 좌석 무료제공 저거 설마 1등석...... 아무튼 그 전장연은 대한항공을 반드시 장애인을 차별하는 항공사로 처벌할것이다 공헌 참고로 와상장애인만 이렇지 유튜브로 조금만 찾아보면 이동이 좀 되는 장애인들은 다 혜택 받고 잘...크흠 혹시 전문 보길 원하는 펨붕이들 있을까봐 링크도 같이 걸어둠 https:sadd.or.krdata?bmode=view&idx=63787791&back_url&t=board&page=1&fbclid=IwY2xjawEiquZleHRuA2FlbQIxMAABHcX-8AGub-J0bkev5lJ1YjNR7ncBkcunJ2sPgOgjk1zVIgeukHyLS52oBA_aem_ouT2WKUaGGQfCyhzgg584g', '캬 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
후원금,"['곧 프랑스 갈 준비하는 전장연 근황', '역시 6배의 요금을 강요 받았다고 시위 start 이전에 한번 국내여행 제주도 가는데 파리 여행 가는 요금내야한다고 뉴스 나온적이 있는데 와상장애인 즉 누워서 지내는 장애인들이 여행갈려면 1인당 6개를 사야 한다 이런 구조 같음 이건 지금도 변함이 없는 모양 그러니까 프랑스 가는 대한항공 좌석 6개를 앞뒤 다 사서 와상장애인들이 누워서 간다 이렇게 보면 될듯? 가뜩이나 뭐 프랑스 가서 한국 장애인 대우에 부당함을 알리겠다고 가시는분들인데 뭐 와상장애인 7명 도우미 7명 이런식으로 잡는다해도 좌석 1개당 왕복 낮게 잡아도 90만원이면 6개면 540만원*7 = 3700만원꼴 뭐 얼마나 와상장애인들을 데려갈지 모르겠다만 편성된금액이면 가기로 한 인원 반으로 축소해야할판.... 자 그럼 이번 전장연이 이동권에 이은 기내이동권 보장 내용을 한번 보면 무료를 참 많이 요구했네.....근데 좌석간 거리 넓은 좌석 무료제공 저거 설마 1등석...... 아무튼 그 전장연은 대한항공을 반드시 장애인을 차별하는 항공사로 처벌할것이다 공헌 참고로 와상장애인만 이렇지 유튜브로 조금만 찾아보면 이동이 좀 되는 장애인들은 다 혜택 받고 잘...크흠 혹시 전문 보길 원하는 펨붕이들 있을까봐 링크도 같이 걸어둠 https:sadd.or.krdata?bmode=view&idx=63787791&back_url&t=board&page=1&fbclid=IwY2xjawEiquZleHRuA2FlbQIxMAABHcX-8AGub-J0bkev5lJ1YjNR7ncBkcunJ2sPgOgjk1zVIgeukHyLS52oBA_aem_ouT2WKUaGGQfCyhzgg584g', '저런돈 어디서 나오는거임?']"
지가 존나 비호감 행동만 하고 다니긴함,"['경기도도시GOAT는 걍 사람이 싫긴함', '전장연 후원부터 싫어짐', '부천 ㅋㅋ']"
쵸또마떼,"['QWER 팔로우했다고 김제덕쿵야 욕하기 시작하는 트페미들', '대체 그게 뭔상관인지.. 같은선수(안산)\xa0 별것도아닌일로 괴롭힘 당한다고하는 사람도있음 이전 페미관련된것들도 그렇고 전장연관련 발언도있고 매국노사건도 자기가 잘못해서 가게사장들한테 피해입히고 자기가 도게자박은게 왜 별것도아닌일인지..', '쵸사이어인']"
쵸단을 벗방비제이로 프레임씌우네 역겨운것들,"['QWER 팔로우했다고 김제덕쿵야 욕하기 시작하는 트페미들', '대체 그게 뭔상관인지.. 같은선수(안산)\xa0 별것도아닌일로 괴롭힘 당한다고하는 사람도있음 이전 페미관련된것들도 그렇고 전장연관련 발언도있고 매국노사건도 자기가 잘못해서 가게사장들한테 피해입히고 자기가 도게자박은게 왜 별것도아닌일인지..', '언냐 나만 불편해?☕️']"
쵸단 사진 레전드네..,"['QWER 팔로우했다고 김제덕쿵야 욕하기 시작하는 트페미들', '대체 그게 뭔상관인지.. 같은선수(안산)\xa0 별것도아닌일로 괴롭힘 당한다고하는 사람도있음 이전 페미관련된것들도 그렇고 전장연관련 발언도있고 매국노사건도 자기가 잘못해서 가게사장들한테 피해입히고 자기가 도게자박은게 왜 별것도아닌일인지..', '사회에 아무 쓸모도 없는 살만 뒤룩뒤룩 찐년들이 방구석에서 트위터질이나 하면서 뭔 ㅋㅋ']"
전장연 후원하시던 그 선수분은 장애인 권리 지키려고 대회 불참하신듯ㅋㅋㅋ 이심전심이었네,"['이시각 전장연 최신근황', '-인천공항에서 1박2일 농성중 -근데 오늘 올림픽 선수단들 오전에 출국예정이였나봄 -원래 앞에서 휠체어로 농성중이였는데 갑자기 페이즈2로 진입 -갑자기 휠체어 다 거두더니 각개전투 포지션으로 진입시도하다 경찰들이 방패 세움 -근데 대표 발언이 좀 이상한게 올림픽과 페럴림픽이 장애인권리를 막고 있다라는 발언함. ....뭐지 대체... 아무래도 프랑스 갈려고했는데 모금이 뜻대로 안되서 작전 바꾼 모양', 'ㅈㄴ잘 돌아다니네 ㅅㅂ']"
이동권 존나 잘 보장된거 같은디,"['전장연 근황....jpg (일본 아님)', '파리 올림픽 간다함 ㄷㄷ 이동 존나 잘함 ㄷㄷㄷㄷ 다른나라에선 선수보낼때 대한민국에선 전장연 보냄 ㄷㄷㄷ 전설의 삼성 하이패스 조작사건....jpg https:www.fmkorea.com7173810975', '패럴림픽이랑 올림픽이랑 다릅니다']"
나보다 외국 잘가네,"['전장연 일본간거 ㅈㄴ어이없네ㅋㅋㅋ', 'ㅈㄴ이동잘하잖아ㅋㅋㅋ', 'ㄹㅇ 뭔가싶었다']"
티가 아니고 그냥 혐오에 쩌든새끼들임. 한국사회에서 남성으로 태어난건 죄다 이지랄하면서 지들 불쌍한척은 존나게 하면서 장애로 태어나거나 사고당해서 장애된사람들은 사람취급도 안하는 펨붕이들,"['전장연 일본 지하철 진출 ㄷㄷㄷㄷㄷ', '이왜진ㅋㅋㅋㅋ 근데 장애인 권리 투쟁을 왜 일본 지하철에서 하는거냐ㅋㅋㅋ', '맞는말인데 여긴 T밖에없음 너희들 부모님도 곧 장애인된다']"
ㅋㅋㅋ 미국이나 브라질 가서 하면 오체분시 될듯 ㅋㅋㅋㅋㅋ,"['전장연 일본 지하철 진출 ㄷㄷㄷㄷㄷ', '이왜진ㅋㅋㅋㅋ 근데 장애인 권리 투쟁을 왜 일본 지하철에서 하는거냐ㅋㅋㅋ', '이름에 전국이라매 ㅋㅋㅋㅋㅋㅋㅋㅋ 일본이 전국이냐?']"
대림역에선 못 함 ㅋㅋ,"['부산 지하철을 방문한 전장연', '', 'ㅋㅋㅋㅋㅋ 지방은 까불다가 진짜 맞는다']"
병신 육갑 ㅋ,"['부산 지하철을 방문한 전장연', '', '근데 저렇게 하게된 계기가 뭐임?']"
스파르탄 ㅋㅋㅋㅋㅋㅋ,"['특정커뮤니티? 아니어도 조대원 의견은 전반적으로 욕먹을 거 같은데', '전장연 시위 관련 → 장발장 모르냐고? 장애인들이 탄압 받고 있다? 비장애인이었으면 진작에 쳐맞고 구속임. 상비전력 부족 대책 → 예비군 끌고와서 강화시키면 된다. 예비군을 어떻게 상비군으로 쓰자는 거? 스파르탄이냐? 시골로 가면 200만원 주겠다 → ...? 재원은? 이 정책의 근거는..? 국힘과의 합당, → ? 스스로를 극단적 이준석 지지자들과 싸우는 투사인 양 이야기 하는데 이준석 언급 안 하면 그냥 욕먹고 사라질 사람 정도가 정배임', '이준석 실책 몇가지 중 하나지 ㅋㅋㅋㅋ']"
IQ53온라인 ㄷㄷ,"['게임 진짜 전장연온라인이네 ㅋㅋㅋ', '제일 기본적인 패스부터 정상이 하나도 없음 ㅋㅋ', '원창연온라인 아님?']"
교육현장에선 성취도평가 대부분 찬성임,"['이준석 1호 법안은 우파정책이라서 전교조 반대 심할꺼야', '이명박 정부 때 이미 학업성취도 시험 치르면서 일제고사 쳤었음 이거 추진했던 사람이 교육경제학자 출신 현 교육부장관 이주호(그 당시도 교육부 장관) 미국에서는 부시행정부 때 추진되었고, 그 당시 유학했던 준석이가 관심있게 봤나봄 다만, 우리나라에서는 전교조 등 좌파단체가 워낙 반발이 심해서 부수적으로 따라오는 규제나 제재는 못했는데 이번에 준석이가 만들면 획기적이긴 하나, 전교조 비롯한 좌파단체들 반대를 뚫어야 할 듯 학업성취도 고사 치른후에 학교별 성적 다 공개하고 수준 떨어지는 학교 있으면 좀 더 지원해주면서 영포자 수포자 방지하는 거. 만약 몇년연속 하위 20%에 들면 교장을 해고한다든지 등의 조치 취하고 하여간 일정수준으로 학력미달학생들을 끌어올리는 정책임 이걸 통해서 교사들의 경쟁력을 높이고, 공교육의 경쟁력도 강화하겠다는 건데 교사들이 가르쳐야 할 것도 많고 해서 많이 반대할 수도 있음 근데 좌파들 전교조 반발논리는 간단함 어떻게 학생을 일률적으로 한줄로 죽 세워서 평가하냐 이거임 학생의 다양성을 무시하고, 학교의 급을 나누게 되고. 명문학군의 부활이며 기타 등등등등등 그당시 전교조 교사들이 학업성취도 시험 거부하고 난리도 아니었다 정작 자기반 학생들 시험 못보게 하면서, 지 아들은 시험 보게했던 웃기는 전교조 교사도 나왔음 ㅋㅋㅋ 추진한다면 전장연 못지 않게 전교조에게 욕을 듣을 정책임 이런 정책이 진정한 보수우파정책인데 국힘의원 중에 이거하자고 하는 사람 없음 왜냐면 그들은 좌파들이 무섭기 때문에. 내생각에 준석이는 정권의 비리 부정부패는 확실하게 야당 포지션으로 잡고 정책은 보수우파로 포지셔닝 하면서 확실하게 국힘과 보수경쟁할려고 하는 것 같음 더불어 사안별로 국힘과 정부가 보수정책에 부합하는 정책을 내놓으면 협력할 용의는 있는 것 같음 어쩄든 전장연 시위 반대처럼 준석이가 재밌게 이슈파이팅하면 꽤 화제가 될 것 같음 추가글 댓글에 몇가지 우려점 봤는데 그런건 준석이가 디테일하게 잘 처리할꺼라고 봄 일단 지켜보자구', '이 주제 교육철학 때도 다루던 거 보면, 꽤 중요한 주제이긴 한 듯']"
